Date,Year,Month,Day,Location,City,State,Plastic drink bottles,Food wrappers,Plastic grocery bags,"Plastic bags (Zip-loc, etc)",Straws/stirrers,Utensils,Plastic cups/plates,Plastic take away containers,Plastic bottle caps,Plastic lids,Cigarettes,Vaping cartidges/pods,Cigar tips,Personal hygiene,Dental/floss picks,Tampons/applicators,Wipes,Toys,Balloons,Lighters,Shotgun shells/wadding,Strapping bands,Zip-ties,Shipping/packaging,Plastic sheeting/tape,Oil/lube bottles,Bleach/cleaner bottles,Masks (reusable/fabric),Masks (disposable),Gloves (disposable),Hand sanitizer,Cans,Metals caps/lids,Batteries,Metal pieces,Glass bottles,Glass pieces,Tires,Rubber pieces,Shoes,Fabric pieces,Clothing/towels/gloves,Paper straws,Paper bags,Paper cups/plates,Paper/tissues/napkins,Paper Shipping/packaging,Bait containers/crates,Lobster claw bands,Fishing nets,Lures and lightsticks,Derelict traps/trap pieces,Buoys/floats,Rope,Micro plastic 0-5mm,SMALL plastic 5-30mm,LARGE plastic >30mm,Line/net fiber: MICRO 0-5mm,Line/net fiber: SMALL 5-30mm,Line/net fiber: LARGE >30mm,Resin Pellets,BBs/beads,Foam cups/plates,Foam take away containers,Micro foam 0-5mm,SMALL foam 5-30mm,LARGE foam >30mm,Dock Foam (any size),Foam Toys,Foam Toys (water/pool),Foam Shipping/packaging,Foam Buoys,Foam Coolers,Pink Construction Foam,Blue Construction Foam,Construction Foam w Foil,Foam Meat Trays,Home & garden items,Car/boat parts,Other,Unidentified pieces,Type of cleanup,Type of location,Distance cleaned (miles),Duration (hrs),Start time,End time,Weather,Weather (wind knots),Recent weather,Tide,Flow,Recent events,Total weight (lb),# of participants,Unusual items,Notes/comments,Plastic Total,PPE Total,Metal Total,Glass/Rubber Total,Paper/Cloth Total,Fishing Debris Total,"Microplastics, Fibers, Fragments Total",Foam Total,Other Total,Total Total,Outlier
6/23/11,2011,June,23,"Hudson River, Albany, NY",Albany,NY,4,4,0,0,1,0,0,0,2,0,9,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,,,,,,,,,,,,,,,,,24.00,0.00,1.00,0.00,0.00,0.00,25.00,16.00,12.00,36.00,O
7/4/11,2011,July,4,"Fort Adams Newport, RI",Newport,RI,22,42,29,0,12,0,0,0,25,0,4,0,0,1,0,0,10,0,17,0,0,0,0,0,17,0,0,0,0,0,0,11,0,0,13,14,0,0,1,0,0,0,0,0,10,13,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,,,,,,,,,,,,,,,,,179.00,0.00,24.00,15.00,23.00,18.00,0.00,1.00,76.00,255.00,O
7/5/11,2011,July,5,"Conanicut Yacht Club, Jamestown, RI",Jamestown,RI,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,5.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,1.00,6.00,
7/13/11,2011,July,13,"Brenton Cove, Newport, RI",Newport,RI,1,6,1,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,18.00,0.00,12.00,1.00,0.00,6.00,5.00,0.00,3.00,21.00,O
7/20/11,2011,July,20,"Courageous Sailing, Boston, MA",Boston,MA,20,98,7,0,35,2,16,0,56,0,70,0,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,39,0,0,3,0,0,0,1,1,0,0,0,0,3,19,0,0,0,0,0,0,0,1,0,0,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,292,0,,,,,,,,,,,,,,,,,321.00,0.00,42.00,1.00,23.00,1.00,46.00,46.00,292.00,613.00,O
7/22/11,2011,July,22,"Charles River, Community Boating Incorporated, Boston, MA",Boston,MA,6,78,9,0,26,2,6,0,76,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,3,0,0,3,3,0,0,0,1,0,5,0,0,15,2,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,,,,,,,,,,,,,,,,,249.00,0.00,6.00,3.00,23.00,1.00,32.00,0.00,409.00,658.00,O
6/30/11,2011,June,30,"The Waterfront Center, Oyster Bay, NY",Oyster Bay,NY,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,14.00,0.00,4.00,0.00,2.00,0.00,13.00,0.00,0.00,14.00,O
4/12/12,2012,April,12,Annapolis Green Drink,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROV,,,,,,,,,,,,3.00,100.00,,Cigarette Filter was from surface,2.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,
4/13/12,2012,April,13,"NSHOF, STEM & public",,,0,7,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,ROV,,,,,,,,,,,,35.00,115.00,,Whiteware Jug from the 19th century,21.00,0.00,5.00,5.00,5.00,0.00,1.00,0.00,4.00,25.00,
4/14/12,2012,April,14,NSHOF,,,1,3,0,0,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROV,,,,,,,,,,,,15.00,500.00,,,15.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,15.00,
