Date,Year,Month,Day,Location,City,State,Plastic drink bottles,Food wrappers,Plastic grocery bags,"Plastic bags (Zip-loc, etc)",Straws/stirrers,Utensils,Plastic cups/plates,Plastic take away containers,Plastic bottle caps,Plastic lids,Cigarettes,Vaping cartidges/pods,Cigar tips,Personal hygiene,Dental/floss picks,Tampons/applicators,Wipes,Toys,Balloons,Lighters,Shotgun shells/wadding,Strapping bands,Zip-ties,Shipping/packaging,Plastic sheeting/tape,Oil/lube bottles,Bleach/cleaner bottles,Masks (reusable/fabric),Masks (disposable),Gloves (disposable),Hand sanitizer,Cans,Metals caps/lids,Batteries,Metal pieces,Glass bottles,Glass pieces,Tires,Rubber pieces,Shoes,Fabric pieces,Clothing/towels/gloves,Paper straws,Paper bags,Paper cups/plates,Paper/tissues/napkins,Paper Shipping/packaging,Bait containers/crates,Lobster claw bands,Fishing nets,Lures and lightsticks,Derelict traps/trap pieces,Buoys/floats,Rope,Micro plastic 0-5mm,SMALL plastic 5-30mm,LARGE plastic >30mm,Line/net fiber: MICRO 0-5mm,Line/net fiber: SMALL 5-30mm,Line/net fiber: LARGE >30mm,Resin Pellets,BBs/beads,Foam cups/plates,Foam take away containers,Micro foam 0-5mm,SMALL foam 5-30mm,LARGE foam >30mm,Dock Foam (any size),Foam Toys,Foam Toys (water/pool),Foam Shipping/packaging,Foam Buoys,Foam Coolers,Pink Construction Foam,Blue Construction Foam,Construction Foam w Foil,Foam Meat Trays,Home & garden items,Car/boat parts,Other,Unidentified pieces,Type of cleanup,Type of location,Distance cleaned (miles),Duration (hrs),Start time,End time,Weather,Weather (wind knots),Recent weather,Tide,Flow,Recent events,Total weight (lb),# of participants,Unusual items,Notes/comments,Plastic Total,PPE Total,Metal Total,Glass/Rubber Total,Paper/Cloth Total,Fishing Debris Total,"Microplastics, Fibers, Fragments Total",Foam Total,Other Total,Total Total,Outlier
2011-06-23,2011,June,23,"Hudson River, Albany, NY",Albany,NY,4,4,0,0,1,0,0,0,2,0,9,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,Unknown,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,0.0,,,24,0,1,0,0,0,25,16,12,36,O
2011-07-04,2011,July,4,"Fort Adams Newport, RI",Newport,RI,22,42,29,0,12,0,0,0,25,0,4,0,0,1,0,0,10,0,17,0,0,0,0,0,17,0,0,0,0,0,0,11,0,0,13,14,0,0,1,0,0,0,0,0,10,13,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,Unknown,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,0.0,,,179,0,24,15,23,18,0,1,76,255,O
2011-07-05,2011,July,5,"Conanicut Yacht Club, Jamestown, RI",Jamestown,RI,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Unknown,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,0.0,,,5,0,1,1,2,0,0,0,1,6,
2011-07-13,2011,July,13,"Brenton Cove, Newport, RI",Newport,RI,1,6,1,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Unknown,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,0.0,,,18,0,12,1,0,6,5,0,3,21,O
2011-07-20,2011,July,20,"Courageous Sailing, Boston, MA",Boston,MA,20,98,7,0,35,2,16,0,56,0,70,0,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,39,0,0,3,0,0,0,1,1,0,0,0,0,3,19,0,0,0,0,0,0,0,1,0,0,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,292,0,Unknown,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,0.0,,,321,0,42,1,23,1,46,46,292,613,O
2011-07-22,2011,July,22,"Charles River, Community Boating Incorporated, Boston, MA",Boston,MA,6,78,9,0,26,2,6,0,76,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,3,0,0,3,3,0,0,0,1,0,5,0,0,15,2,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,Unknown,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,0.0,,,249,0,6,3,23,1,32,0,409,658,O
2011-06-30,2011,June,30,"The Waterfront Center, Oyster Bay, NY",Oyster Bay,NY,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,0.0,,,14,0,4,0,2,0,13,0,0,14,O
2012-04-12,2012,April,12,Annapolis Green Drink,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROV,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,3.0,100.0,,Cigarette Filter was from surface,2,0,0,1,2,0,0,0,0,2,
2012-04-13,2012,April,13,"NSHOF, STEM & public",,,0,7,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,ROV,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,35.0,115.0,,Whiteware Jug from the 19th century,21,0,5,5,5,0,1,0,4,25,
2012-04-14,2012,April,14,NSHOF,,,1,3,0,0,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROV,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,15.0,500.0,,,15,0,0,0,1,0,0,0,0,15,
